Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
1014.a4.txt,1636.5824308062577,1504.2117930204574,673.8868832731648,457.280385078219,0,0,1
0112.a4.txt,1670.673076923077,1382.2115384615386,637.0192307692307,456.7307692307692,0,0,3
2000.a4.txt,2084.848484848485,1115.151515151515,751.5151515151515,521.2121212121212,0,0,2
2007.a4.txt,1666.6666666666665,1318.9448441247005,563.5491606714628,527.57793764988,0,1,3
0169.a4.txt,1672.8624535315987,1449.814126394052,817.8438661710037,396.53035935563815,0,0,1
1017.a4.txt,1759.581881533101,1210.801393728223,871.0801393728224,627.177700348432,0,0,1
0205.a4.txt,1754.0322580645163,1330.6451612903224,665.3225806451612,584.6774193548387,0,0,3
1094.a4.txt,1334.9225268176401,1334.9225268176401,643.6233611442194,667.4612634088201,0,1,1
0215.a4.txt,2071.290944123314,1136.8015414258189,703.2755298651252,375.7225433526012,0,0,4
5009.a4.txt,1763.740771123872,1271.5340442986053,869.5652173913044,401.9688269073011,0,0,1
2035.a4.txt,1752.3364485981308,1378.504672897196,455.607476635514,537.3831775700935,0,0,1
1102.a4.txt,1579.5328142380422,1234.7052280311457,901.0011123470522,478.3092324805339,0,1,3
1048.a4.txt,1637.4871266735324,1503.6045314109167,607.621009268795,648.8156539649846,0,0,2
0187.a4.txt,1556.6625155666252,1506.849315068493,597.7584059775841,373.59900373599,0,0,6
4030.a4.txt,1553.398058252427,1574.973031283711,517.7993527508091,647.2491909385112,0,0,0
2065.a4.txt,1304.8498845265588,1466.512702078522,704.3879907621248,508.0831408775981,0,0,2
1003.a4.txt,2230.347349177331,1243.1444241316271,731.2614259597806,347.34917733089577,0,0,1
2031.a4.txt,1891.891891891892,1171.1711711711712,777.027027027027,563.063063063063,0,0,2
2038.a4.txt,2097.9899497487436,1180.9045226130654,753.7688442211055,502.51256281407035,0,0,2
1049.a4.txt,1554.7703180212013,1472.3203769140164,918.7279151943463,565.3710247349824,0,0,1
1066.a4.txt,2073.6196319018404,1165.644171779141,907.9754601226995,355.82822085889575,0,0,2
2059.a4.txt,1881.785283474065,1242.4607961399277,759.9517490952954,482.5090470446321,0,0,3
2069.a4.txt,1600.9557945041815,1577.0609318996414,669.0561529271206,561.5292712066905,0,0,1
0206.a4.txt,1402.9850746268658,1273.6318407960198,776.1194029850745,517.4129353233831,0,0,6
1036.a4.txt,1847.8260869565215,1372.2826086956522,747.2826086956521,597.8260869565217,0,0,2
2066.a4.txt,1914.008321775312,1262.1359223300972,832.1775312066575,513.1761442441054,0,0,2
1098.a4.txt,1694.6959896507117,1345.4075032341525,685.640362225097,595.0840879689522,0,0,1
